110.00,-2.76
110.00,-2.77
110.00,-2.77
110.00,-2.78
110.00,-2.77
110.00,-2.75
110.00,-2.74
110.00,-2.71
110.00,-2.67
110.00,-2.58
110.00,-2.36
110.00,-1.93
110.00,-1.28
0.00,-0.26
0.00,0.93
-110.00,2.10
-110.00,3.05
-110.00,3.97
-110.00,4.76
-110.00,5.45
-110.00,6.07
-110.00,6.62
-110.00,7.27
-110.00,7.87
-110.00,8.25
-110.00,8.14
-110.00,7.46
-110.00,6.50
-110.00,5.59
-110.00,4.95
-110.00,4.46
-110.00,4.14
-110.00,3.88
-110.00,3.54
-110.00,3.07
-110.00,2.47
-110.00,1.78
0.00,0.52
0.00,-0.30
110.00,-1.34
110.00,-2.51
110.00,-3.80
110.00,-5.02
110.00,-6.38
110.00,-7.73
110.00,-9.13
110.00,-10.40
110.00,-11.68
110.00,-12.53
110.00,-12.67
110.00,-12.20
110.00,-11.44
110.00,-10.68
110.00,-10.07
110.00,-9.88
110.00,-9.71
110.00,-9.66
110.00,-9.71
110.00,-9.60
110.00,-9.51
110.00,-9.13
110.00,-8.46
110.00,-7.55
110.00,-6.74
110.00,-5.92
110.00,-5.33
110.00,-4.82
110.00,-4.37
110.00,-3.84
110.00,-3.00
110.00,-1.97
0.00,-0.85
0.00,0.16
-110.00,1.39
-110.00,2.67
-110.00,3.95
-110.00,5.11
-110.00,6.52
-110.00,7.99
-110.00,9.51
-110.00,10.86
-110.00,11.51
-110.00,11.57
-110.00,11.14
-110.00,10.45
-110.00,9.61
-110.00,8.81
-110.00,8.06
-110.00,7.32
-110.00,6.75
-110.00,6.19
-110.00,5.69
-110.00,5.23
-110.00,5.21
-110.00,4.89
-110.00,4.39
-110.00,3.53
-110.00,2.43
0.00,0.93
0.00,-0.80
110.00,-2.56
110.00,-4.34
110.00,-6.12
110.00,-8.01
110.00,-9.84
110.00,-11.31
110.00,-12.07
110.00,-12.17
110.00,-11.68
110.00,-10.86
110.00,-10.10
110.00,-9.38
110.00,-8.79
110.00,-8.33
110.00,-7.99
110.00,-7.69
110.00,-7.41
110.00,-6.97
110.00,-6.29
110.00,-5.24
110.00,-3.95
110.00,-2.50
110.00,-1.08
0.00,0.13
-110.00,1.47
-110.00,2.86
-110.00,4.36
-110.00,5.81
-110.00,7.50
-110.00,9.30
-110.00,11.18
-110.00,12.72
-110.00,13.99
-110.00,14.71
-110.00,14.92
-110.00,14.78
-110.00,14.57
-110.00,14.44
-110.00,14.46
-110.00,14.68
-110.00,15.03
-110.00,15.59
-110.00,16.30
-110.00,17.06
-110.00,17.55
-110.00,17.83
-110.00,17.82
-110.00,17.73
-110.00,17.71
-110.00,17.92
-110.00,18.31
-110.00,18.94
-110.00,19.76
-110.00,20.78
-110.00,21.94
-110.00,23.08
-110.00,24.15
-110.00,24.99
-110.00,25.74
-110.00,26.53
-110.00,27.56
-110.00,28.76
-110.00,30.33
-110.00,32.14
-110.00,34.19
-110.00,36.17
-110.00,38.46
-110.00,40.93
-110.00,43.54
-110.00,46.04
-110.00,49.12
-110.00,52.43
-110.00,55.94
-110.00,59.84
-110.00,63.85
-110.00,68.87
-110.00,74.02
-110.00,79.08
-110.00,83.74
-110.00,84.66
-110.00,83.99
-110.00,82.63
-110.00,81.47
-110.00,80.45
-110.00,81.01
-110.00,81.72
-110.00,81.89
-110.00,81.91
-110.00,81.77
-110.00,81.08
-110.00,80.25
-110.00,79.83
-110.00,79.66
-110.00,79.79
-110.00,80.09
-110.00,80.24
-110.00,80.16
-110.00,79.89
-110.00,79.66
-110.00,79.47
-110.00,79.27
-110.00,79.19
-110.00,79.08
-110.00,78.91
-110.00,78.74
-110.00,78.78
-110.00,78.72
-110.00,78.67
-110.00,78.73
-110.00,78.82
-110.00,78.94
-110.00,79.03
-110.00,79.11
-110.00,79.15
-110.00,79.19
-110.00,79.21
-110.00,79.21
-110.00,79.23
-110.00,79.24
-110.00,79.31
-110.00,79.36
-110.00,79.39
-110.00,79.25
-110.00,78.87
-110.00,78.37
-110.00,77.90
-110.00,77.40
-110.00,76.93
-110.00,76.30
-110.00,75.74
-110.00,74.99
-110.00,73.94
-110.00,71.77
-110.00,69.83
-110.00,67.27
-110.00,64.31
-110.00,60.89
-110.00,57.43
-110.00,53.98
-110.00,50.59
-110.00,47.26
-110.00,44.16
-110.00,41.83
-110.00,39.61
-110.00,37.75
-110.00,36.35
-110.00,35.42
-110.00,34.65
-110.00,34.19
-110.00,33.97
-110.00,33.92
-110.00,34.06
-110.00,34.32
-110.00,34.70
-110.00,35.11
-110.00,35.54
-110.00,35.97
-110.00,36.35
-110.00,36.66
-110.00,36.92
-110.00,37.21
-110.00,37.43
-110.00,37.56
-110.00,37.59
-110.00,37.63
-110.00,37.62
-110.00,37.46
-110.00,37.30
-110.00,37.08
-110.00,36.81
-110.00,36.55
-110.00,36.32
-110.00,36.06
-110.00,35.84
-110.00,35.58
-110.00,35.27
-110.00,34.99
-110.00,34.68
-110.00,34.38
-110.00,34.02
-110.00,33.73
-110.00,33.43
-110.00,33.13
